type,language,sentence,length
sentence,en,I'm going to the concert.,5
sentence,en,He was a horrible dancer.,5
sentence,en,"When we started out in 2008, we wrote down a list of people that we wanted to hire, then went out and hired them.",24
sentence,en,My sister likes to eat cheese on her peanut butter sandwich and pickles on her ice cream.,17
sentence,en,This is the biggest party I've ever been to.,9
sentence,en,I want to have my name taken off the list.,10
sentence,en,The baby was so cute but she was crying so loud I had to plug my ears.,17
sentence,en,"Every time she left the apartment, she was scared she'd come home to find all her valuables stolen or irreparably burned in a horrible fire.",25
sentence,en,You have a big house.,5
sentence,en,I didn't like how they dyed my hair today at the salon.,12
sentence,en,Paris is one of the biggest cities in the world.,10
sentence,en,My shoes are blue with yellow stripes and green stars on the front.,13
sentence,en,We never found a body.,5
sentence,en,The rabbit leaped over the tiny fence.,7
sentence,en,His boss might get angry with his tone.,8
sentence,en,I want to meet his sister-in-law.,6
sentence,en,I ordered a new laptop case yesterday.,7
sentence,en,You look just like your brother.,6
sentence,en,He wondered what else he could craft with those.,9
sentence,en,I will never forget that day.,6
sentence,en,"I twisted my ankle but couldn't afford to pay for taxis, so had to keep walking on it for weeks.",20
sentence,en,I’m reconsidering my decision to get such an expensive car.,10
sentence,en,My pen broke and leaked blue ink all over my new dress.,12
sentence,en,You use this when someone is very afraid or very sick.,11
sentence,en,The big green plant was starting to droop at the stem.,11
sentence,en,She knew she should be grateful but still felt sad.,10
sentence,en,She cleaned out her fridge and found a wrinkled orange in the back of it.,15
sentence,en,He wished he had waited to move out until after he had found a job.,15
sentence,en,"The Grand Canyon got snow for the first time in decades, and all the tourists were very excited.",18
sentence,en,She put up window decals of pumpkins and they caught all the gnats in her room.,16
sentence,en,She lived in constant fear of being abruptly fired.,9
sentence,en,They dressed the baby as a pot of honey for Halloween.,11
sentence,en,"She didn't like to support Amazon, but she was too lazy to go shopping anywhere else.",16
sentence,en,"And now I get to sleep all day, Rose huffed dejectedly.",11
sentence,en,She had a hard time finding laundry detergent when she was traveling.,12
sentence,en,Sam felt sick after eating five huge candy bars.,9
sentence,en,My favorite thing about dancing is listening to the music.,10
sentence,en,"She wanted her grandmother's old bike, but the tires were worn out and she couldn't find a shop that could replace them.",22
sentence,en,"If you ask for my number, I might give it to you.",12
sentence,en,"She liked to support independent coffee shops, but often couldn't afford the price-tags of their custom brews.",17
sentence,en,I need to stop spending money.,6
sentence,en,I am a little mad right now.,7
sentence,en,I do not like meat.,5
sentence,en,Being fashionable is fun.,4
sentence,en,We've got a major job ahead of us.,8
sentence,en,We live near an old library.,6
sentence,en,The security is the safest around.,6
sentence,en,She wished she could speak Italian.,6
sentence,en,The computer is dying on me.,6
sentence,en,His eyes were glazed over.,5
sentence,en,Sarey lives alone in a remote cabin.,7
sentence,en,We have a long day tomorrow.,6
sentence,en,Property is government.,3
sentence,en,She became homeless after she was evicted.,7
sentence,en,There was a big earthquake last night.,7
sentence,en,They make wonderful walking buddies.,5
sentence,en,I want to see you.,5
sentence,en,Trees are small when they are first planted.,8
sentence,en,I'm always late and I don't care.,7
sentence,en,I want to have a part-time job.,7
sentence,en,I never knew what hardship looked like until it started raining bowling balls.,13
sentence,en,"As you consider all the possible ways to improve yourself and the world, you notice John Travolta seems fairly unhappy.",20
sentence,en,It had been sixteen days since the zombies first attacked.,10
sentence,en,Harrold felt confident that nobody would ever suspect his spy pigeon.,11
sentence,en,"Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair.",13
sentence,en,Nobody has encountered an explosive daisy and lived to tell the tale.,12
sentence,en,It's always a good idea to seek shelter from the evil gaze of the sun.,15
